MAP:Taxiway Movement Areas
AIRPORT:EDAH
FOLDER:Airport Layout
ACTIVE:1
COLOR:taxiway

N053.52.54.622 E014.08.22.572
N053.52.54.578 E014.08.22.230
N053.52.54.529 E014.08.21.938
N053.52.54.442 E014.08.21.609
N053.52.54.343 E014.08.21.320
N053.52.54.253 E014.08.21.095
N053.52.54.125 E014.08.20.851
N053.52.54.028 E014.08.20.685
N053.52.53.898 E014.08.20.494
N053.52.53.766 E014.08.20.351
N053.52.53.676 E014.08.20.267
N053.52.53.540 E014.08.20.144
N053.52.53.428 E014.08.20.042
N053.52.53.042 E014.08.19.883
N053.52.52.028 E014.08.19.384

COLOR:taxiway
N053.52.44.283 E014.08.27.183
N053.52.44.377 E014.08.27.273
N053.52.46.194 E014.08.21.857
N053.52.45.444 E014.08.19.764
N053.52.43.759 E014.08.19.895
N053.52.43.243 E014.08.21.715
N053.52.42.207 E014.08.25.206
N053.52.42.940 E014.08.25.922
N053.52.44.283 E014.08.27.183

COLOR:taxiway
N053.52.53.358 E014.08.03.997
N053.52.52.491 E014.08.03.579
N053.52.52.351 E014.08.03.596
N053.52.52.187 E014.08.03.648
N053.52.52.050 E014.08.03.711
N053.52.51.886 E014.08.03.808
N053.52.51.671 E014.08.03.950
N053.52.51.534 E014.08.04.093
N053.52.51.394 E014.08.04.311
N053.52.51.295 E014.08.04.610
N053.52.50.344 E014.08.07.454
N053.52.48.624 E014.08.12.530
N053.52.46.708 E014.08.18.179
N053.52.46.675 E014.08.18.144
N053.52.45.440 E014.08.19.595
N053.52.45.443 E014.08.19.765
N053.52.46.194 E014.08.21.857
N053.52.46.351 E014.08.21.642
N053.52.46.461 E014.08.21.504
N053.52.46.593 E014.08.21.341
N053.52.46.712 E014.08.21.192
N053.52.46.963 E014.08.20.961
N053.52.47.190 E014.08.20.779
N053.52.47.418 E014.08.20.590
N053.52.47.571 E014.08.20.538
N053.52.49.376 E014.08.20.406
N053.52.50.051 E014.08.21.001
N053.52.50.120 E014.08.21.137
N053.52.50.150 E014.08.21.396
N053.52.50.325 E014.08.22.379
N053.52.51.122 E014.08.17.509
N053.52.50.448 E014.08.18.906
N053.52.49.947 E014.08.19.331
N053.52.47.611 E014.08.19.557
N053.52.47.379 E014.08.19.472
N053.52.47.266 E014.08.19.293
N053.52.47.211 E014.08.19.045
N053.52.47.234 E014.08.18.768
N053.52.47.486 E014.08.18.007
N053.52.50.046 E014.08.10.559
N053.52.51.624 E014.08.05.901
N053.52.52.367 E014.08.05.000
N053.52.52.614 E014.08.05.123
N053.52.52.889 E014.08.06.801
N053.52.53.358 E014.08.03.997
